supplier,sku,manufacturer,category,description,item_type,unit_cost,unit_sell,lead_time_days
BNS Distribution,GWN7821P,Grandstream,Switching & PoE,GWN7821P 8 PORT POE 2 SFP+ LAYER 3 MULTI-GIGABIT SWITCH,product,£165.00,£223.00,7
BNS Distribution,GWN7822P,Grandstream,Switching & PoE,GWN7822P 24 PORT POE 4 SFP+ LAYER 3 MULTI-GIGABIT SWITCH,product,£226.00,£335.00,7
BNS Distribution,GWN7830,Grandstream,Switching & PoE,GWN7830 12 PORT L3 SWITCH,product,£106.00,£138.00,7
BNS Distribution,GWN7831,Grandstream,Switching & PoE,GWN7831 28PORT L3 SWITCH,product,£213.00,£279.00,7
BNS Distribution,GWN7832,Grandstream,Switching & PoE,GWN7832 12PORT 10G SFP L3 SWITCH,product,£159.00,£205.00,7
BNS Distribution,POE-INJ,Grandstream,Switching & PoE,POE INJECTOR,product,£14.00,£14.93,7
BNS Distribution,RPS-300W-B,Grandstream,Switching & PoE,54V/5.6A RPS-300W-B PSU for GWN7813P,product,£115.00,£179.00,7
BNS Distribution,RPS-60W-B,Grandstream,Switching & PoE,"12V/5A RPS-60W-B PSU for GWN7813, GWN7831, GWN7832",product,£39.00,£59.00,7
BNS Distribution,GAC2570,Grandstream,Video & Conferencing,GAC2570 AUDIO CONFERENCE DEVICE,product,£372.00,£558.00,7
BNS Distribution,GUV3100,Grandstream,Video & Conferencing,GUV3100 FHD WEBCAM **FINAL CALL**,product,£10.00,£11.00,7
BNS Distribution,GVC3212,Grandstream,Video & Conferencing,GVC3212 HD VIDEO CONFERENCING END POINT FOR IPVIDEOTALK,product,£53.00,£73.00,7
BNS Distribution,GVC3220,Grandstream,Video & Conferencing,GVC3220 IP VIDEO CONFERENCE SYSTEM,product,"£1,017.00","£1,864.00",7
BNS Distribution,GXV3470-WMB,Grandstream,Video & Conferencing,GXV3470 WALL MOUNT BRACKET,product,£5.00,£10.00,7
BNS Distribution,PSU-GAC2500,Grandstream,Video & Conferencing,PSU for GAC2500,product,£8.00,£15.00,7
BNS Distribution,PSU-GVC3210,Grandstream,Video & Conferencing,PSU for GVC3210,product,£8.00,£15.00,7
BNS Distribution,PSU-GVC32XX,Grandstream,Video & Conferencing,"PSU for GVC3200, GVC3202",product,£20.00,£30.00,7
BNS Distribution,PSU-GXV35XX,Grandstream,Video & Conferencing,PSU for GXV3500,product,£4.00,£8.00,7
BNS Distribution,PSU-GXV36XX,Grandstream,Video & Conferencing,"PSU for GXV3610 , GXV3611, GXV3674 series",product,£4.00,£8.00,7
BNS Distribution,PSU-GXV3XXX,Grandstream,Video & Conferencing,"PSU for GXV3275, GXV3240, GXV3370, GXV3380",product,£4.00,£8.00,7
BNS Distribution,GRP2613W,Grandstream,Wi-Fi & Networking,GRP2613 ITSP PHONE WIFI MODEL,product,£47.00,£58.00,7
BNS Distribution,GWN7052,Grandstream,Wi-Fi & Networking,GWN7052 WIFI 5 ROUTER **FINAL CALL**,product,£31.00,£33.00,7
BNS Distribution,GWN7052F,Grandstream,Wi-Fi & Networking,GWN7052F WIFI 5 ROUTER **FINAL CALL**,product,£45.00,£51.00,7
BNS Distribution,GWN7062M,Grandstream,Wi-Fi & Networking,GWN7062M Wi-Fi 6 ROUTER,product,£48.00,£60.00,7
BNS Distribution,GWN7302,Grandstream,Wi-Fi & Networking,GWN7302 Wi-Fi 6 PtP/PtMP Fixed Wireless Bridge,product,£51.00,£63.00,7
BNS Distribution,GWN7602,Grandstream,Wi-Fi & Networking,GWN7602,product,£39.00,£44.00,7
BNS Distribution,GWN7603,Grandstream,Wi-Fi & Networking,GWN7603 Wave-2 Wi-Fi 5 Access Point,product,£39.00,£44.00,7
BNS Distribution,GWN7604,Grandstream,Wi-Fi & Networking,GWN7604 Indoor AX3000 Wi-Fi 6 Access Point,product,£44.00,£51.00,7
BNS Distribution,GWN7615,Grandstream,Wi-Fi & Networking,GWN7615 WIFI 5 ACCESS POINT,product,£57.00,£66.00,7
BNS Distribution,GWN7624,Grandstream,Wi-Fi & Networking,GWN7624 WIFI 5 ACCESS POINT,product,£51.00,£58.00,7
BNS Distribution,GWN7625,Grandstream,Wi-Fi & Networking,GWN7625 WIFI 5 ACCESS POINT,product,£53.00,£63.00,7
BNS Distribution,GWN7630,Grandstream,Wi-Fi & Networking,GWN7630 WIFI 5 ACCESS POINT,product,£68.00,£81.00,7
BNS Distribution,GWN7630LR,Grandstream,Wi-Fi & Networking,GWN7630LR WIFI 5 LR ACCESS POINT**LOOK AT GWN7660ELR/GWN7660LR**,product,£75.00,£93.00,7
BNS Distribution,GWN7660,Grandstream,Wi-Fi & Networking,GWN7660 WIFI 6 ACCESS POINT,product,£58.00,£78.00,7
BNS Distribution,GWN7660E,Grandstream,Wi-Fi & Networking,GWN7660E WIFI 6 ACCESS POINT,product,£47.00,£58.00,7
BNS Distribution,GWN7660ELR,Grandstream,Wi-Fi & Networking,GWN7660ELR WIFI 6 LR ACCESS POINT,product,£66.00,£85.00,7
BNS Distribution,GWN7660EM,Grandstream,Wi-Fi & Networking,GWN7660EM Plug-In Wi-Fi 6 Extender + AP,product,£40.00,£49.00,7
BNS Distribution,GWN7660LR,Grandstream,Wi-Fi & Networking,GWN7660 WIFI 6 LR ACCESS POINT**FINAL CALL**,product,£71.00,£89.00,7
BNS Distribution,GWN7661,Grandstream,Wi-Fi & Networking,GWN7661 WIFI 6 AX1800 INWALL AP,product,£57.00,£70.00,7
BNS Distribution,GWN7661E,Grandstream,Wi-Fi & Networking,GWN7661E WIFI6,product,£51.00,£63.00,7
BNS Distribution,GWN7662,Grandstream,Wi-Fi & Networking,GWN7662 WIFI 6 AX5400 HYBRID AP,product,£77.00,£96.00,7
BNS Distribution,GWN7664,Grandstream,Wi-Fi & Networking,GWN7664 Wi-Fi 6 Indoor Access Point,product,£101.00,£138.00,7
BNS Distribution,GWN7664E,Grandstream,Wi-Fi & Networking,GWN7664E Wi-Fi 6 Indoor Access Point,product,£95.00,£123.00,7
BNS Distribution,GWN7664ELR,Grandstream,Wi-Fi & Networking,GWN7664ELR Wi-Fi 6 LR Access Point,product,£113.00,£148.00,7
BNS Distribution,GWN7664LR,Grandstream,Wi-Fi & Networking,GWN7664 Wi-Fi 6 LR Access Point,product,£121.00,£155.00,7
BNS Distribution,GWN7665,Grandstream,Wi-Fi & Networking,GWN7665 Tri-Band Wi-Fi 6E Access Point,product,£74.00,£96.00,7
BNS Distribution,GWN7670,Grandstream,Wi-Fi & Networking,GWN7670 Wi-Fi 7 Indoor Dual-Band Access Point,product,£69.00,£85.00,7
BNS Distribution,GWN7670E,Grandstream,Wi-Fi & Networking,GWN7670E Wi-Fi 7 Indoor Dual-Band Access Point,product,£55.00,£71.00,7
BNS Distribution,GWN7670LR,Grandstream,Wi-Fi & Networking,GWN7670LR Long-Range Dual-Band Wi-Fi 7 Access Point/Bridge,product,£107.00,£126.00,7
BNS Distribution,GWN7670WM,Grandstream,Wi-Fi & Networking,GWN7670WM In-Wall Wi-Fi 7 Access Point,product,£71.00,£82.00,7
BNS Distribution,GWN7672,Grandstream,Wi-Fi & Networking,GWN7672 Tri-Band Wi-Fi 7 Access Point,product,£115.00,£138.00,7
BNS Distribution,GWN7674,Grandstream,Wi-Fi & Networking,GWN7674 High-Performance Tri-Band Wi-Fi 7 Access Point,product,£173.00,£223.00,7
BNS Distribution,WP816,Grandstream,Wi-Fi & Networking,WP816 WIFI PHONE,product,£46.00,£55.00,7
BNS Distribution,WP820,Grandstream,Wi-Fi & Networking,WP820 WIFI IP PHONE,product,£88.00,£108.00,7
BNS Distribution,WP822,Grandstream,Wi-Fi & Networking,WP822 WIFI PHONE,product,£71.00,£88.00,7
BNS Distribution,WP825,Grandstream,Wi-Fi & Networking,WP825 WIFI PHONE,product,£95.00,£123.00,7
BNS Distribution,WP826,Grandstream,Wi-Fi & Networking,WP826 WIFI PHONE,product,£57.00,£70.00,7
BNS Distribution,WP836,Grandstream,Wi-Fi & Networking,WP836 WIFI PHONE,product,£88.00,£115.00,7
BNS Distribution,WP856,Grandstream,Wi-Fi & Networking,WP856 Wi-Fi Smartphone,product,£475.00,£633.00,7
EET Group,LVT-CABLESTRAPS2012-10MULTI,Lanview,Cabling & Accessories,"Lanview Lanview Cable Tie, Hook and Loop 200mm x 12mm 10pcs/bag, Multicolour",product,3.47,£5.21,7
EET Group,LVN122151,Lanview,Cabling & Accessories,"Lanview 305m Cat6 U-UTP cable 4x2xAWG23 PE Black Outdoor, DUCT",product,88.59,£132.89,7
EET Group,RWM-IP65404020W,Lanview,Cabling & Accessories,Lanview IP65 Wall-Box with mounting plate W:400 x H:400 x D:200mm - White,product,79.26,£118.89,7
EET Group,RWSLMWH1,Lanview,Cabling & Accessories,"Lanview by Logon 19"" Rack Cabinet 1U 55 x 15 Wallmount Slim with PDU Type E plug for EU",product,60.59,£90.89,7
EET Group,RWMIP55W12U60B,Lanview,Cabling & Accessories,"Lanview by Logon 19"" Rack Cabinet 12U 60 x 60 Wallmount IP55",product,275.25,£412.88,7
EET Group,LVR-2MSCH-SCH-C13-8,Lanview,Cabling & Accessories,"Lanview 19"" rack mount power strip, 1U, 16A with 8 x Schuko socket, C14 plug",product,19.17,£28.76,7
EET Group,LVR-2MC14-SPD-C13X10,Lanview,Cabling & Accessories,"Lanview 19"" rack mount power strip, 2m, 13A with 10 x C13 outlets",product,21.07,£31.61,7
EET Group,LVR-3MUK-SPD-UK10,Lanview,Cabling & Accessories,"Lanview UK Rack mount power strip, 5m, 13A with 10 x UK socketsvertical PDU",product,27.63,£41.45,7
EET Group,LVR-3MUK-SW-UK6,Lanview,Cabling & Accessories,"Lanview UK Rack mount 19"" power strip, 3m, 1U 13A with 6 x UK sockets",product,19.28,£28.92,7
EET Group,RAO400BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 19"" SLIDING COVER CABLE MANAGEMENT PANEL BLACK",product,12.73,£19.10,7
EET Group,RAO200BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 19"" SIMPLE TYPE, BRUSHED CABLE ORGANIZER PANEL",product,8.92,£13.38,7
EET Group,RAO100BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 19"" CABLE ORGANIZER PANEL, 5 HOOK BLACK",product,5.96,£8.94,7
EET Group,RAO110BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 19"" CABLE ORGANIZER PANEL WITH CABLE ENTRY HOLE",product,7.22,£10.83,7
EET Group,RWP07U56BL,Lanview,Cabling & Accessories,"Lanview by Logon 19"" Rack Cabinet 7U 60 x 56 Wallmount Pro",product,135.49,£203.24,7
EET Group,RDL16U68BL,Lanview,Cabling & Accessories,"Lanview by Logon 19"" 16U Rack Cabinet 600 x 800mm Data Line",product,328.35,£492.53,7
EET Group,RDL16U66BL,Lanview,Cabling & Accessories,"Lanview by Logon 19"" 16U Rack Cabinet 600 x 600mm Data Line",product,301.08,£451.62,7
EET Group,LVN122150,Lanview,Cabling & Accessories,Lanview 305m Cat6 U-UTP cable 4x2xAWG24 LSZH Purple,product,89.10,£133.65,7
EET Group,LVO233845,Lanview,Cabling & Accessories,Lanview 24-Port Fibre patch panel mounted with 24 x LC duplex Single Mode connectors,product,156.55,£234.83,7
EET Group,LVN122445,Lanview,Cabling & Accessories,"Lanview 500m Cat6a U-FTP cable 4x2xAWG23 PE black outdoor, DUCT",product,226.62,£339.93,7
EET Group,LVO-TEST,Lanview,Cabling & Accessories,Lanview the new fiber tester Ideal for troubleshooting on fiber network,product,377.25,£565.88,7
EET Group,LVN122160,Lanview,Cabling & Accessories,"Lanview 305m Cat6 F-UTP cable 4x2xAWG23 LSZH white, Fire Class: Cca",product,147.66,£221.49,7
EET Group,LV-UTP6A15B,Lanview,Cabling & Accessories,"Lanview Network Cable CAT6A UTP 15m Black LSZH, HIGH-FLEX, SmartClick",product,9.54,£14.31,7
EET Group,RAS203BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 19"" D=300mm RACK MOUNT SHELF BLACK",product,15.10,£22.65,7
EET Group,RAX105,Lanview,Cabling & Accessories,"Lanview by Logon M6 CAGE NUT SET AND MOUNTING SCREWS, 1set= 50pcs",product,9.77,£14.66,7
EET Group,RAS600BL,Lanview,Cabling & Accessories,Lanview by Logon D=600 SLIDING SHELF BLACK,product,29.28,£43.92,7
EET Group,RAX141,Lanview,Cabling & Accessories,Lanview by Logon 4 pcs. EARTHING CABLE FOR 10 EARTHING POINT SET,product,29.41,£44.12,7
EET Group,RAF210BL,Lanview,Cabling & Accessories,"Lanview by Logon 4 FANS, DIGITAL THERMOSTAT CONTROLLED FAN MODULE BLACK",product,125.34,£188.01,7
EET Group,RAS210BL,Lanview,Cabling & Accessories,"Lanview by Logon 2U 19"" D=350mm RACK MOUNT SHELF BLACK",product,19.18,£28.77,7
EET Group,RAF300BL,Lanview,Cabling & Accessories,"Lanview by Logon 2 FANS, DIGITAL THERMOSTAT RACK MOUNT FAN MODULE 1U",product,95.50,£143.25,7
EET Group,LVN122004,Lanview,Cabling & Accessories,Lanview Cat5e U-UTP cable 4x2xAWG24 PVC white,product,68.02,£102.03,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP+ 10 Gbps, RJ-45 Copper, 30m, Compatible with Cisco SFP-10G-T",product,58.87,£88.31,7
EET Group,LVN6015SOUT,Lanview,Cabling & Accessories,Lanview Cat6a HIGH-FLEX S/FTP Outdoor Network Cable 15m,product,23.27,£34.91,7
EET Group,LVO237930,Lanview,Cabling & Accessories,"Lanview Laser pen - Visual Fault Locator 2,5 mm",product,28.29,£42.44,7
EET Group,LVO231812,Lanview,Cabling & Accessories,Lanview LC-LC Multimode fibre cable duplex 3m OM4 LSZH,product,6.31,£9.47,7
EET Group,LVO231810,Lanview,Cabling & Accessories,Lanview LC-LC Multimode fibre cable duplex 1m OM4 LSZH,product,4.46,£6.69,7
EET Group,LVN127596,Lanview,Cabling & Accessories,Lanview 24-Port Unshielded Patch Panel CAT6,product,12.89,£19.34,7
EET Group,LVT551125,Lanview,Cabling & Accessories,Lanview Velcro strap black 16 x 250 mm,product,20.25,£30.38,7
EET Group,LVT551040,Lanview,Cabling & Accessories,Lanview Cable tie white 7.5 x 350 mm,product,6.08,£9.12,7
EET Group,MO-UC-DAC-SFP+,Lanview,Cabling & Accessories,"Lanview SFP+ Direct Attach Copper Cable, 10 Gbps 0.5m",product,18.23,£27.35,7
EET Group,LVO-1.25MM-ADAPTER,Lanview,Cabling & Accessories,"Lanview Visual Fault Locator 1,25 mm Adapter",product,5.03,£7.55,7
EET Group,LVN122153,Lanview,Cabling & Accessories,"Lanview CAT6a U-FTP network cable LSZH, B2CA, Orange, 305m 0.56mm wire",product,147.85,£221.78,7
EET Group,LVO230501-MTP,Lanview,Cabling & Accessories,"Lanview Optical Fibre Cable, MTP Female - Male, Multimode, LC/UPC, OM4 (Erica Violet), 1m",product,33.52,£50.28,7
EET Group,LVO230403-MTP,Lanview,Cabling & Accessories,"Lanview Optical Fibre Cable, MTP Female - MTP Female, Multimode, Polarity B, OM4 (Erica Violet), 3m",product,51.65,£77.48,7
EET Group,LVN122152,Lanview,Cabling & Accessories,"Lanview CAT5e U-UTP network cable LSZH, Dca, Purple, 305m 0.49mm wire",product,74.85,£112.28,7
EET Group,TUPS047,Lanview,Cabling & Accessories,Lanview by Logon 6 way with switch surge protect French plugs,product,25.69,£38.54,7
EET Group,LVO231810-FLEX,Lanview,Cabling & Accessories,Lanview Bendable LC-LC Multimode fibre cable duplex 1m OM4 LSZH,product,6.90,£10.35,7
EET Group,LVO231301-FLEX,Lanview,Cabling & Accessories,Lanview Bendable LC-LC Multimode fibre cable duplex 2m OM3 LSZH,product,6.78,£10.17,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP 1G, MMF, 550 m, 1-pack, Compatible with Ubiquiti UF-MM-1G",product,7.90,£11.85,7
EET Group,LVN127693,Lanview,Cabling & Accessories,Lanview Network cable tester with 8 x RJ45/BNC probes and tracer,product,94.00,£141.00,7
EET Group,LVN122112,Lanview,Cabling & Accessories,Lanview 305m Cat6 U-UTP cable 4x2xAWG23 LSZH white,product,89.10,£133.65,7
EET Group,LVN122014,Lanview,Cabling & Accessories,Lanview 305m Cat5e U-UTP cable 4x2xAWG24 LSZH white,product,67.72,£101.58,7
EET Group,LVN-DESK-8PORT-1G,Lanview,Cabling & Accessories,Lanview 8-port 1000Mbps Intelligent Switch 10/100/1000Mbps Ethernet ports,product,14.81,£22.22,7
EET Group,LVN-127694,Lanview,Cabling & Accessories,Lanview Digital Network cable tester with tracer,product,81.94,£122.91,7
EET Group,RDL26U81BL,Lanview,Cabling & Accessories,"Lanview by Logon 19"" 26U Rack Cabinet 800 x 1000mm Data Line",product,665.42,£998.13,7
EET Group,RDL20U68BL,Lanview,Cabling & Accessories,"Lanview by Logon 19"" 20U Rack Cabinet 600 x 800mm Data Line",product,238.38,£357.57,7
EET Group,RWP07U45BL,Lanview,Cabling & Accessories,"Lanview by Logon 19"" Rack Cabinet 7U 60 x 45 Wallmount Pro",product,128.41,£192.62,7
EET Group,LVN122149,Lanview,Cabling & Accessories,"Lanview 305m Cat5e U-UTP cable 4x2xAWG24 Black PE Outdoor, DUCT",product,72.30,£108.45,7
EET Group,RSL26U61BL,Lanview,Cabling & Accessories,"Lanview by Logon 19"" 26U Rack Cabinet 600 x 1000mm Server Line",product,665.44,£998.16,7
EET Group,RAB300BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 19"" SNAP LOCKING BLANK PANEL BLACK",product,7.61,£11.42,7
EET Group,RAB100WH,Lanview,Cabling & Accessories,"Lanview by Logon 1U 19"" SCREW TYPE BLANK PANEL WHITE",product,4.60,£6.90,7
EET Group,RAS200BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 19"" D=250mm RACK MOUNT SHELF BLACK",product,13.12,£19.68,7
EET Group,RA10100BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 10"" D=150mm SHELF MODULE BLACK",product,7.22,£10.83,7
EET Group,RAS805BL,Lanview,Cabling & Accessories,Lanview by Logon D=670mm FIXED SHELF ADJUSTABLE SIDE ARM BLACK,product,18.64,£27.96,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP 1.25 Gbps, MMF, 550 m, LC, DDMI, Compatible with Zyxel SFP-SX-D",product,12.05,£18.08,7
EET Group,LVO231818,Lanview,Cabling & Accessories,Lanview LC-LC Multimode fibre cable duplex 5m OM4 LSZH Ø 2mm.,product,7.43,£11.15,7
EET Group,LVN126188UK-2,Lanview,Cabling & Accessories,Lanview CAT6 Faceplate Dual Gang UK Type 86*86mm,product,3.44,£5.16,7
EET Group,LVO231995-100,Lanview,Cabling & Accessories,Lanview Fibre cable 12 x OM3 LSZH indoor/outdoor 100m,product,175.62,£263.43,7
EET Group,LVN125305,Lanview,Cabling & Accessories,Lanview RJ45 UTP plug Cat6 for AWG23-24 stranded/solid conductor Easy-Connect 50 pcs box,product,16.78,£25.17,7
EET Group,LVO231811,Lanview,Cabling & Accessories,Lanview LC-LC Multimode fibre cable duplex 2m OM4 LSZH,product,5.38,£8.07,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP+ 10 Gbps, SMF, 10 km, LC, Compatible with Cisco SFP-10G-LR",product,27.34,£41.01,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP+ 10 Gbps, MMF, 300 m, LC, DDMI support, Compatible with Cisco SFP-10G-SR",product,15.19,£22.79,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP 1 Gbps, RJ-45 Copper, 100 m, Compatible with Cisco GLC-T, GLC-T=",product,24.30,£36.45,7
EET Group,LVR300728,Lanview,Cabling & Accessories,"Lanview 19"" Rack cabinet 3U x D155 mm, weight capacity max 40 Kg",product,137.73,£206.60,7
EET Group,RWM07U56BL,Lanview,Cabling & Accessories,"Lanview by Logon 19"" Rack Cabinet 7U 60 x 56 Wallmount",product,106.90,£160.35,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP 1 Gbps, SMF, 20 km, LC, DDMI support, Compatible with Cisco GLC-LH-SMD",product,12.39,£18.59,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP+ 10 Gbps, MMF, 300m, LC, Compatible with Ubiquiti UF-MM-10G",product,15.19,£22.79,7
EET Group,LVT-CABLEMOUNT-50B,Lanview,Cabling & Accessories,"Lanview Self-adhesive Zip Tie Mounts, 25mm x 25mm, 50pcs, Black",product,3.47,£5.21,7
EET Group,MO-455883-B21,Lanview,Cabling & Accessories,"Lanview SFP+ 10 Gbps, MMF, 300 m, LC, Compatible with HPE 455883-B21",product,15.19,£22.79,7
EET Group,LVN6060SOUT,Lanview,Cabling & Accessories,Lanview Cat6a HIGH-FLEX S/FTP Outdoor Network Cable 60m,product,88.87,£133.31,7
EET Group,LVO230402-MTP,Lanview,Cabling & Accessories,"Lanview Optical Fibre Cable, MTP Female - MTP Female, Multimode, Polarity B, OM4 (Erica Violet), 2m",product,47.50,£71.25,7
EET Group,LVO231409,Lanview,Cabling & Accessories,Lanview LC-LC Singlemode fibre cable duplex 5m OS2 9/125 LSZH,product,4.57,£6.86,7
EET Group,LVO231407,Lanview,Cabling & Accessories,Lanview LC-LC Singlemode fibre cable duplex 2m OS2 9/125 LSZH,product,3.95,£5.93,7
EET Group,LVO231396,Lanview,Cabling & Accessories,Lanview SC/APC Pigtail Singlemode 2m OS2 9/125 PVC EASY STRIP,product,1.89,£2.84,7
EET Group,LVO231301,Lanview,Cabling & Accessories,Lanview LC-LC Multimode fibre cable duplex 2m OM3 50/125 LSZH,product,4.36,£6.54,7
EET Group,LVN147142,Lanview,Cabling & Accessories,"Lanview Cat6 U/UTP Network Cable 10m, White, LSZH",product,5.65,£8.48,7
EET Group,LVN128146,Lanview,Cabling & Accessories,Lanview PRO Cat6a Unshielded flip jack keystone,product,2.17,£3.26,7
EET Group,LVN128084,Lanview,Cabling & Accessories,Lanview Cat6a Unshielded flip jack keystone,product,2.46,£3.69,7
EET Group,LVN128078,Lanview,Cabling & Accessories,Lanview Cat6 Unshielded flip jack keystone,product,2.00,£3.00,7
EET Group,LVN127603,Lanview,Cabling & Accessories,"Lanview 24-port STP Cat6 + Cat6a patch panel 1U for 19"" rack",product,14.83,£22.25,7
EET Group,LVT125467,Lanview,Cabling & Accessories,"Lanview 25 M Velcro roll, 20mm",product,13.16,£19.74,7
EET Group,LVT125466,Lanview,Cabling & Accessories,"Lanview 5 meter Velcro roll, 10 mm",product,5.67,£8.51,7
EET Group,LVT551130,Lanview,Cabling & Accessories,Lanview Velcro strap black 16 x 400 mm,product,34.72,£52.08,7
EET Group,LVT551030,Lanview,Cabling & Accessories,Lanview Cable tie white 7.5 x 250 mm,product,4.66,£6.99,7
EET Group,RAF115BL-UK,Lanview,Cabling & Accessories,"Lanview by Logon 2 FANS, ANALOG THERMOSTAT CONTROL FAN MODULE BUILT-IN UK Plug",product,75.82,£113.73,7
EET Group,LVN-CAT6A-FLEX-10M,Lanview,Cabling & Accessories,"Lanview CAT6A S/FTP High-Flex Network Cable 10m, Black",product,8.79,£13.19,7
EET Group,LKS675BL,Lanview,Cabling & Accessories,"Lanview by Logon 1U 10"" PATCH PANEL FOR KEYSTONE - 8-PORT UNEQUIPPED BLACK",product,4.99,£7.49,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP+ 10 Gbps, MMF, 300 m, LC, Compatible with Fortinet FG-TRAN-SFP+SR",product,15.19,£22.79,7
EET Group,LVN-MED-SC-1000BASE-X-2,Lanview,Cabling & Accessories,Lanview Pair 1-Port 10/100/1000X SC to 1-Port 10/100/1000T 802.3x Media Converter,product,31.82,£47.73,7
EET Group,RAB105BL,Lanview,Cabling & Accessories,"Lanview by Logon 2U 19"" SCREW TYPE BLANK PANEL BLACK",product,6.03,£9.05,7
EET Group,LVN127766,Lanview,Cabling & Accessories,Lanview Surface mount box for 1 x RJ45 jack,product,1.38,£2.07,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP+ 10 Gbps, MMF, 300m, LC, DDMI support, Compatible with Netgear AXM761",product,17.01,£25.52,7
EET Group,LVN126078UK,Lanview,Cabling & Accessories,Lanview Back Box 86*86*32mm,product,0.56,£0.84,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP 1 Gbps, MMF, 550 m, LC, DDMI support, Compatible Cisco GLC-SX-MMD",product,12.05,£18.08,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP+ 10Gbps, SMF, 10 km, LC, Compatible with Ubiquiti UF-SM-10G",product,27.34,£41.01,7
EET Group,LVO231551,Lanview,Cabling & Accessories,Lanview 12-Port Fibre patch panel for SC duplex/LC Quad connectors Fiber ODF,product,27.64,£41.46,7
EET Group,LVO231408,Lanview,Cabling & Accessories,Lanview LC-LC Singlemode fibre cable duplex 3m OS2 9/125 LSZH,product,4.16,£6.24,7
EET Group,LVO231287,Lanview,Cabling & Accessories,Lanview LC Singlemode connector duplex OS2 zirconia SC footprint,product,1.09,£1.64,7
EET Group,LVN128088,Lanview,Cabling & Accessories,Lanview Cat6a Shielded flip jack keystone,product,3.65,£5.48,7
EET Group,LVN127597,Lanview,Cabling & Accessories,Lanview 24-Port shielded Patch Panel,product,11.97,£17.96,7
EET Group,LVN126097,Lanview,Cabling & Accessories,Lanview Wall plate for 2 x keystone. Fits 50x75 mm LK FUGA outlet,product,1.65,£2.48,7
EET Group,LVT551120,Lanview,Cabling & Accessories,Lanview Velcro strap black 16 x 210 mm,product,18.23,£27.35,7
EET Group,LVT551115,Lanview,Cabling & Accessories,Lanview Velcro strap black 12 x 150 mm,product,10.94,£16.41,7
EET Group,,Lanview,Cabling & Accessories,"Lanview SFP 1 Gbps, MMF, 550 m, LC, Compatible with HP J4858C",product,16.40,£24.60,7
EET Group,MO-UDC-1,Lanview,Cabling & Accessories,"Lanview SFP 10 Gbps Direct Attach Passive Cable, 1m, Compatible with Ubiquiti UDC-1",product,15.19,£22.79,7
EET Group,CAT-LANVIEW-PROD-2022,Lanview,Cabling & Accessories,Lanview Product Catalogue 2022 1 pcs. (if you order 15 pcs. you get a full carton box),product,0.01,£0.02,7
EET Group,CAT-LANVIEW-2021,Lanview,Cabling & Accessories,Lanview Printed catalogue,product,0.02,£0.03,7
EET Group,RWMIP65-DIN-W300MM,Lanview,Cabling & Accessories,Lanview Lanview Din Rail W:300 x D:7.5 x H:35mm,product,6.20,£9.30,7
EET Group,LV-6AFTP-FLEX-ANG-01B,Lanview,Cabling & Accessories,Lanview Lanview Bendable booted Halogenfree (LSZH) CAT6A U/FTP 1m Black,product,3.80,£5.70,7
EET Group,LVT-CABLEMOUNT-50W,Lanview,Cabling & Accessories,"Lanview Lanview Self-adhesive Zip Tie Mounts, 25mm x 25mm, 50pcs, White",product,3.47,£5.21,7
EET Group,LVT-CABLESTRAPS1512-10MULTI,Lanview,Cabling & Accessories,"Lanview Lanview Cable Tie, Hook and Loop 150mm x 12mm 10pcs/bag, Multicolour",product,2.89,£4.34,7
EET Group,LV-6AFTP-FLEX-ANG-005B,Lanview,Cabling & Accessories,Lanview Lanview Bendable booted Halogenfree (LSZH) CAT6A U/FTP 0.5m Black,product,3.21,£4.82,7
EET Group,LV-6AFTP-FLEX-ANG-0025B,Lanview,Cabling & Accessories,Lanview Lanview Bendable booted Halogenfree (LSZH) CAT6A U/FTP 0.25m Black,product,2.92,£4.38,7
EET Group,RWF20U66WH,Lanview,Cabling & Accessories,"Lanview Quick Assembly Unassembled 19"" 20U Rack Wall Mount W:600 x D:600 x H:1000mm - White",product,134.09,£201.14,7
EET Group,RWF12U66WH,Lanview,Cabling & Accessories,"Lanview Quick Assembly Unassembled 19"" 12U Rack Wall Mount W:600 x D:600 x H:645mm - White",product,109.06,£163.59,7
